college_name,college_link,duration,fees,rank,placement,c_type
"MS Ramaiah Institute of Technology (MSRIT), Bangalore",https://www.collegesearch.in/colleges/ms-ramaiah-institute-of-technology-msrit-bangalore,4 Years,"Rs 1,38,000/-",,"Average -Rs.
                                7.66 L.P.A/-Highest -Rs.
                                50 L.P.A/-",
"Birla Institute of Technology - BIT Mesra, Ranchi",https://www.collegesearch.in/university/birla-institute-of-technology-mesra-bit-mesra-ranchi,4 Years,"Rs 11,75,000/-",,"Average -Rs.
                                6.83 L.P.A/-Highest -Rs.
                                26.97 L.P.A/-",Deemed
"National Institute of Technology (NIT), Rourkela",https://www.collegesearch.in/colleges/national-institute-of-technology-nit-rourkela,4 Years,"Rs 6,46,000/-",,"Average -Rs.
                                3.2 L.P.A/-Highest -Rs.
                                8.3 L.P.A/-",Autonomous
"National Institute of Technology (NITP), Patna",https://www.collegesearch.in/colleges/national-institute-of-technology-nit-patna,4 Years,"Rs 5,26,400/-",,"Average -Rs.
                                4.65 L.P.A/-Highest -Rs.
                                16.85 L.P.A/-",Autonomous
"Sardar Vallabhbhai National Institute of Technology, Surat",https://www.collegesearch.in/colleges/sardar-vallabhbhai-national-institute-of-technology-svnit-surat,4 Years,"Rs 1,68,000/-",,"Average -Rs.
                                7.97 L.P.A/-Highest -Rs.
                                25.50 L.P.A/-",Autonomous
"Govt Model Engineering College (MEC), Kochi",https://www.collegesearch.in/colleges/govt-model-engineering-college-mec-kochi,4 Years,"Rs 1,40,000/-",,"Average -Rs.
                                4.00 L.P.A/-",
"Indian Institute of Technology - Ropar (IIT Ropar), Ropar",https://www.collegesearch.in/colleges/indian-institute-of-technology-ropar-iit-ropar,4 Years,"Rs 9,09,200/-",,"Average -Rs.
                                10.7 L.P.A/-",Autonomous
"Indian Institute of Technology (IIT) Gandhinagar, Ahmedabad",https://www.collegesearch.in/colleges/indian-institute-of-technology-iit-gandhinagar-ahmedabad,4 Years,"Rs 8,71,000/-",,"Average -Rs.
                                7 L.P.A/-Highest -Rs.
                                12.55 L.P.A/-",Autonomous
"Vellore Institute of Technology (VIT), Chennai",https://www.collegesearch.in/colleges/vellore-institute-of-technology-vit-chennai,4 Years,"Rs 7,92,000/-",,"Average -Rs.
                                5.7 L.P.A/-Highest -Rs.
                                30 L.P.A/-",
"National Institute of Technology, Jamshedpur",https://www.collegesearch.in/colleges/national-institute-of-technology-nit-jamshedpur,4 Years,"Rs 7,16,000/-",,"Average -Rs.
                                19.75 L.P.A/-Highest -Rs.
                                67 L.P.A/-",Autonomous
"Malaviya National Institute of Technology (MNIT), Jaipur",https://www.collegesearch.in/colleges/malaviya-national-institute-of-technology-mnit-jaipur,4 Years,"Rs 3,70,700/-",,"Average -Rs.
                                7.0 L.P.A/-Highest -Rs.
                                18.4 L.P.A/-",Autonomous
"National Institute of Technology, Silchar",https://www.collegesearch.in/colleges/national-institute-of-technology-nit-silchar,4 Years,"Rs 5,81,500/-",,"Average -Rs.
                                4.54 L.P.A/-Highest -Rs.
                                17 L.P.A/-",Autonomous
"Indian Institute of Information Technology (IIIT), Allahabad",https://www.collegesearch.in/university/indian-institute-of-information-technology-iiit-allahabad,4 Years,"Rs 5,98,200/-",,"Average -Rs.
                                6.6 L.P.A/-Highest -Rs.
                                65 L.P.A/-",Deemed
"Goa Engineering College, Ponda",https://www.collegesearch.in/colleges/goa-engineering-college-ponda,4 Years,,,,
"Indian Institute of Technology (IIT), Patna",https://www.collegesearch.in/colleges/indian-institute-of-technology-iit-patna,4 Years,"Rs 8,56,150/-",,"Average -Rs.
                                11 L.P.A/-Highest -Rs.
                                39.2 L.P.A/-",Autonomous
"Indian Institute of Information Technology Design and Manufacturing (IITDM), Jabalpur",https://www.collegesearch.in/university/indian-institute-of-information-technology-design-and-manufacturing-iitdm-jabalpur,4 Years,"Rs 3,07,000/-",,,Deemed
"National Institute of Technology (NIT) - Mizoram, Aizwal",https://www.collegesearch.in/colleges/national-institute-of-technology-nit-mizoram-aizwal,4 Years,"Rs 2,84,000/-",,,Autonomous
"PSG College of Technology (PSGCT), Coimbatore",https://www.collegesearch.in/colleges/psg-college-of-technology-psgct-coimbatore,4 Years,"Rs 2,90,000/-",,"Average -Rs.
                                3.5 L.P.A/-",
"National Institute of Technology (NIT), Srinagar",https://www.collegesearch.in/colleges/national-institute-of-technology-nit-srinagar,4 Years,"Rs 3,10,000/-",,,Autonomous
"Shri GS Institute of Technology & Science, Indore",https://www.collegesearch.in/colleges/shri-gs-institute-of-technology-science-sgsits-indore,4 Years,"Rs 2,04,350/-",,,
"College of Engineering, Thiruvananthapuram",https://www.collegesearch.in/colleges/college-of-engineering-thiruvananthapuram,4 Years,,,"Average -Rs.
                                3.5 L.P.A/-Highest -Rs.
                                6.5 L.P.A/-",
"Nirma University - [NU], Ahmedabad",https://www.collegesearch.in/university/nirma-university-ahmedabad,4 Years,"Rs 6,44,000/-",,"Average -Rs.
                                8.10 L.P.A/-Highest -Rs.
                                15 L.P.A/-",State Private University
"Indraprastha Institute of Information Technology (IIIT), Delhi",https://www.collegesearch.in/colleges/indraprastha-institute-of-information-technology-iiit-delhi,4 Years,"Rs 16,00,000/-",,"Average -Rs.
                                15.36 L.P.A/-Highest -Rs.
                                71 L.P.A/-",State University
"Thapar Institute of Engineering and Technology, Patiala",https://www.collegesearch.in/university/thapar-university-patiala,4 Years,"Rs 12,87,000/-",,"Average -Rs.
                                5.45 L.P.A/-Highest -Rs.
                                18.60 L.P.A/-",Deemed
"Vishwakarma Institute of Technology (VIT), Pune",https://www.collegesearch.in/colleges/vishwakarma-institute-of-technology-vit-pune,4 Years,"Rs 4,24,352/-",,"Average -Rs.
                                5.9 L.P.A/-Highest -Rs.
                                37.4 L.P.A/-",Autonomous
"KJ Somaiya College of Engineering (KJSCE), Mumbai",https://www.collegesearch.in/colleges/kj-somaiya-college-of-engineering-kjsce-mumbai,4 Years,"Rs 11,44,000/-",,"Average -Rs.
                                3.6 L.P.A/-Highest -Rs.
                                13 L.P.A/-",
"College of Engineering (Anna University) - Guindy (CEG), Chennai",https://www.collegesearch.in/colleges/college-of-engineering-anna-university-guindy-ceg-chennai,4 Years,"Rs 1,16,880/-",,"Average -Rs.
                                8 L.P.A/-Highest -Rs.
                                15 L.P.A/-",
