college_name,college_link,duration,fees,rank,placement,c_type
"Dumkal Institute of Engineering & Technology, Murshidabad",https://www.collegesearch.in/colleges/dumkal-institute-of-engineering-technology-murshidabad,4 Years,"Rs 3,19,200/-",,"Average -Rs.
                                1.8 L.P.A/-Highest -Rs.
                                3 L.P.A/-",
"Government College of Engineering - Bargur, Krishnagiri",https://www.collegesearch.in/colleges/government-college-of-engineering-bargur,4 Years,"Rs 25,120/-",,,
"Government Engineering College, Gandhinagar",https://www.collegesearch.in/colleges/government-engineering-college-gandhinagar,4 Years,,,,
Bharati Vidyapeeth&rsquo;s College of Engineering - Mumbai (BVCOE),https://www.collegesearch.in/colleges/bharati-vidyapeeths-college-of-engineering-mumbai-bvcoe,4 Years,"Rs 3,39,982/-",,,
Shanmuganathan Engineering College,https://www.collegesearch.in/colleges/shanmuganathan-engineering-college,4 Years,,,,
"Karpagam Institute of Technology, Coimbatore",https://www.collegesearch.in/colleges/karpagam-institute-of-technology-coimbatore,4 Years,,,,
"EGS Pillay Engineering College, Nagapattinam",https://www.collegesearch.in/colleges/egs-pillay-engineering-college,4 Years,,,,
"Nizam Institute of Engineering & Technology, Hyderabad",https://www.collegesearch.in/colleges/nizam-institute-of-engineering-technology,4 Years,,,"Average -Rs.
                                3.0 L.P.A/-",
"Raja Mahendra College of Engineering, Hyderabad",https://www.collegesearch.in/colleges/raja-mahendra-college-of-engineering-hyderabad,4 Years,,,,
"Konkan Gyanpeeth&rsquo;s College of Engineering, Raigad",https://www.collegesearch.in/colleges/konkan-gyanpeeths-college-of-engineering-raigad,4 Years,,,,
"Padmabhooshan Vasantdada Patil Institute of Technology, Sangli",https://www.collegesearch.in/colleges/padmabhooshan-vasantdada-patil-institute-of-technology-sangli,4 Years,"Rs 92,983/-",,"Average -Rs.
                                1.24 L.P.A/-",
"Hi-Tech Institute of Technology, Aurangabad",https://www.collegesearch.in/colleges/hi-tech-institute-of-technology-aurangabad,4 Years,"Rs 2,54,400/-",,,
"Dwarakadas J Sanghvi College of Engineering, Mumbai",https://www.collegesearch.in/colleges/dwarakadas-j-sanghvi-college-of-engineering-mumbai,4 Years,"Rs 4,60,656/-",,"Average -Rs.
                                4.3 L.P.A/-",
"Guru Jambheshwar University of Science & Technology, Hisar",https://www.collegesearch.in/colleges/guru-jambheshwar-university-of-science-technology-hisar,4 Years,,,,State University
"Baba Saheb Dr Bhim Rao Ambedkar College of Agricultural Engineering & Technology, Etawah",https://www.collegesearch.in/colleges/baba-saheb-dr-bhim-rao-ambedkar-college-of-agricultural-engineering-technology-etawah,4 Years,,,,
"Sri Venkateswara College of Engineering & Technology, Chittoor",https://www.collegesearch.in/colleges/sri-venkateswara-college-of-engineering-technology-chitoor-chittoor,4 Years,,,,Autonomous
"PVPP College of Engineering, Mumbai",https://www.collegesearch.in/colleges/pvpp-college-of-engineering-mumbai,4 Years,,,"Average -Rs.
                                3.5 L.P.A/-",
"Government Engineering College, Bharuch",https://www.collegesearch.in/colleges/government-engineering-college-bharuch,4 Years,,,"Average -Rs.
                                2.5 L.P.A/-",
"Forte Institute of Technology, Meerut",https://www.collegesearch.in/colleges/forte-institute-of-technology-meerut,4 Years,"Rs 2,88,200/-",,,
"Disha Institute of Management and Technology, Raipur",https://www.collegesearch.in/colleges/disha-institute-of-management-and-technology-raipur,4 Years,,,,
"Technology Institute of India, Bhopal",https://www.collegesearch.in/colleges/testing-institute-of-india-gangtok,4 Years,"Rs 5,00,000/-",,,
"The Rajas Engineering College, Kanyakumari",https://www.collegesearch.in/colleges/the-rajas-engineering-college-kanyakumari,4 Years,,,,
Government Engineering College - Patan,https://www.collegesearch.in/colleges/government-engineering-college-patan,4 Years,,,,
"Calicut University Institute of Engineering & Technology, Malappuram",https://www.collegesearch.in/colleges/calicut-university-institute-of-engineering-technology-malappuram,4 Years,,,,
"Government Engineering College, Palakkad",https://www.collegesearch.in/colleges/government-engineering-college-palakkad,4 Years,"Rs 32,585/-",,,
Ashoka Institute of Technology & Management,https://www.collegesearch.in/colleges/ashoka-institute-of-technology-management,4 Years,,,,
"Government Engineering College, Thiruvananthapuram",https://www.collegesearch.in/colleges/government-engineering-college-thiruvananthapuram,4 Years,,,,
"Indian Institute of Information Technology (IIIT - Nagpur), Nagpur",https://www.collegesearch.in/colleges/indian-institute-of-information-technology-iiit-nagpur,4 Years,"Rs 4,72,000/-",,,Autonomous
"Madhira Institute of Technology & Science, Hyderabad",https://www.collegesearch.in/colleges/madhira-institute-of-technology-science,4 Years,"Rs 1,80,000/-",,,
College of Engineering - Cherthala,https://www.collegesearch.in/colleges/college-of-engineering-cherthala,4 Years,,,,
"MLV Government Textile & Engineering College, Bhilwara",https://www.collegesearch.in/colleges/mlv-government-textile-engineering-college-bhilwara,4 Years,"Rs 39,600/-",,,Autonomous
"Velagapudi Ramakrishna Siddhartha Engineering College, Vijayawada",https://www.collegesearch.in/colleges/velagapudi-ramakrishna-siddhartha-engineering-college-vijayawada,4 Years,"Rs 2,44,800/-",,,
"College of Engineering - Attingal, Thiruvananthapuram",https://www.collegesearch.in/colleges/college-of-engineering-attingal-thiruvananthapuram,4 Years,"Rs 80,000/-",,"Average -Rs.
                                4.0 L.P.A/-",
VSA Group of Institutions,https://www.collegesearch.in/colleges/vsa-group-of-institutions,4 Years,,,,
"Sree Visvesvaraya Institute of Technology & Science, Mahabub nagar",https://www.collegesearch.in/colleges/sree-visvesvaraya-institute-of-technology-science,4 Years,"Rs 1,64,000/-",,,
"Govt Sri Krishnarajendra Silver Jubilee Technological Institute, Bangalore",https://www.collegesearch.in/colleges/govt-sri-krishnarajendra-silver-jubilee-technological-institute-bangalore,4 Years,,,,
"Guru Ram Das School of Planning- Guru Nanak Dev University, Amritsar",https://www.collegesearch.in/colleges/guru-ram-das-school-of-planning-guru-nanak-dev-university-amritsar,4 Years,,,,
"Government Engineering College - Bastar, Raipur",https://www.collegesearch.in/colleges/government-engineering-college-bastar,4 Years,"Rs 87,860/-",,,
"Faculty of Engineering, Coimbatore",https://www.collegesearch.in/colleges/faculty-of-engineering-coimbatore,4 Years,"Rs 2,46,000/-",,,
"JIET School of Engineering & Technology for Girls ( JIET - SOMG), Jodhpur",https://www.collegesearch.in/colleges/jiet-school-of-engineering-technology-for-girls-jiet-somg-jodhpur,4 Years,,,,
"College of Engineering, Kollam",https://www.collegesearch.in/colleges/college-of-engineering-kollam,4 Years,,,"Average -Rs.
                                3.0 L.P.A/-",
Government Engineering College,https://www.collegesearch.in/colleges/government-engineering-college,4 Years,,,,
"Department of Electronics Technology - Amritsar, Amritsar",https://www.collegesearch.in/colleges/department-of-electronics-technology-amritsar,4 Years,,,,
"Revathy Institute of Engineering and Technology, Tiruvannamalai",https://www.collegesearch.in/colleges/revathy-institute-of-engineering-and-technology-tiruvannamalai,4 Years,"Rs 2,05,500/-",,,
"Agricultural Engineering College & Research Institute - Kunular, Tiruchirappalli",https://www.collegesearch.in/colleges/agricultural-engineering-college-research-institute-kunular,4 Years,"Rs 31,840/-",,,
"awasthi sakshi, Shillong",https://www.collegesearch.in/colleges/awasthi-sakshi,4 Years,,,,Central University
"Jain University - School of Engineering & Technology, Bangalore",https://www.collegesearch.in/university/jain-university-school-of-engineering-technology-bangalore,4 Years,"Rs 3,00,000/-",,"Average -Rs.
                                3.58 L.P.A/-Highest -Rs.
                                5 L.P.A/-",Deemed
"MVGR College of Engineering, Visakhapatnam",https://www.collegesearch.in/colleges/mvgr-college-of-engineering-visakhapatnam,4 Years,"Rs 3,61,400/-",,"Average -Rs.
                                3.3 L.P.A/-Highest -Rs.
                                5 L.P.A/-",
"Avinashilingam University for Women, Coimbatore",https://www.collegesearch.in/university/avinashilingam-university-for-women-coimbatore,4 Years,,,,Deemed
"CV Raman Global University, Bhubaneswar",https://www.collegesearch.in/university/cv-raman-global-university-bhubaneswar,4 Years,"Rs 2,36,000/-",,,
"Jagran Lakecity University, Bhopal",https://www.collegesearch.in/university/jagran-lakecity-university-bhopal,4 Years,"Rs 3,00,000/-",,,
"Giani Zail Singh College of Engineering & Technology, Bhatinda",https://www.collegesearch.in/colleges/giani-zail-singh-college-of-engineering-technology-bhatinda,4 Years,,,,
"Poornima University, Jaipur",https://www.collegesearch.in/colleges/poornima-university-jaipur,4 Years,"Rs 4,60,000/-",,"Average -Rs.
                                3.2 L.P.A/-",State Private University
"Jain University - School of Engineering & Technology, Bangalore",https://www.collegesearch.in/university/jain-university-school-of-engineering-technology-bangalore,4 Years,"Rs 3,00,000/-",,"Average -Rs.
                                3.58 L.P.A/-Highest -Rs.
                                5 L.P.A/-",Deemed
"NIIT University, Alwar",https://www.collegesearch.in/university/niit-university-neemrana,4 Years,"Rs 12,69,500/-",,"Average -Rs.
                                5.45 L.P.A/-Highest -Rs.
                                16.35 L.P.A/-",State Private University
"Veltech Dr.RR & Dr.SR University, Chennai",https://www.collegesearch.in/university/vel-tech-university-chennai,4 Years,"Rs 7,60,000/-",,,
"JB Institute of Technology (JBIT), Dehradun",https://www.collegesearch.in/colleges/jb-institute-of-technology-jbit-dehradun,4 Years,"Rs 3,12,800/-",,,
"Karunya University, Coimbatore",https://www.collegesearch.in/university/karunya-university-coimbatore,4 Years,"Rs 7,24,000/-",,,Autonomous
"MS Ramaiah University of Applied Sciences, Bangalore",https://www.collegesearch.in/university/ms-ramaiah-university-of-applied-sciences-bangalore,4 Years,"Rs 10,00,000/-",,,State Private University
"Invertis University, Bareilly",https://www.collegesearch.in/university/invertis-university-bareilly,4 Years,"Rs 6,00,000/-",,,State Private University
"Lovely Professional University (LPU), Jalandhar",https://www.collegesearch.in/university/lovely-professional-university-lpu-jalandhar,4 Years,"Rs 9,60,000/-",,"Highest -Rs.
                                42 L.P.A/-",State Private University
"Sikkim Manipal University, Gangtok",https://www.collegesearch.in/university/sikkim-manipal-university-gangtok,4 Years,"Rs 6,16,000/-",,,State Private University
"BM Group of Institutions (BMGI), Delhi",https://www.collegesearch.in/colleges/bm-group-of-institutions-bmgi-gurgaon,4 Years,"Rs 3,20,000/-",,"Average -Rs.
                                3 L.P.A/-Highest -Rs.
                                4 L.P.A/-",
"Vasireddy Venkatadri Institute of Technology (VVIT), Guntur",https://www.collegesearch.in/colleges/vasireddy-venkatadri-institute-of-technology-vvit-guntur,4 Years,"Rs 3,20,000/-",,"Average -Rs.
                                3.62 L.P.A/-Highest -Rs.
                                8.5 L.P.A/-",
"MH Saboo Siddik College of Engineering, Mumbai",https://www.collegesearch.in/colleges/mh-saboo-siddik-college-of-engineering-mumbai,4 Years,,,,
"Pimpri Chinchwad College of Engineering, Pune",https://www.collegesearch.in/colleges/pimpri-chinchwad-college-of-engineering-pune,4 Years,"Rs 3,54,324/-",,,
"Pranveer Singh Institute of Technology, Kanpur",https://www.collegesearch.in/colleges/pranveer-singh-institute-of-technology-psit-kanpur,4 Years,"Rs 4,33,000/-",,"Average -Rs.
                                2.4 L.P.A/-",
"Invertis University, Bareilly",https://www.collegesearch.in/university/invertis-university-bareilly,4 Years,"Rs 6,00,000/-",,,State Private University
"KSRM College of Engineering, Kadapa",https://www.collegesearch.in/colleges/ksrm-college-of-engineering-kadapa,4 Years,"Rs 3,40,000/-",,,
"KSR College of Engineering, Tiruchengode",https://www.collegesearch.in/colleges/ksr-college-of-engineering-tiruchengode,4 Years,"Rs 2,20,000/-",,,
"Dayananda Sagar Academy of Technology & Management (DSATM), Bangalore",https://www.collegesearch.in/colleges/dayananda-sagar-academy-of-technology-management-dsatm-bangalore,4 Years,,,,
Dr Sivanthi Aditanar College of Engineering,https://www.collegesearch.in/colleges/dr-sivanthi-aditanar-college-of-engineering,4 Years,,,"Average -Rs.
                                2.45 L.P.A/-",
"SSPM&rsquo;s College of Engineering, Mumbai",https://www.collegesearch.in/colleges/sspms-college-of-engineering,4 Years,,,"Average -Rs.
                                2.3 L.P.A/-Highest -Rs.
                                2.3 L.P.A/-",
"Millennium Group of Institutes, Bhopal",https://www.collegesearch.in/colleges/millennium-group-of-institutes-bhopal,4 Years,,,,
"Pragati Engineering College, Kakinada",https://www.collegesearch.in/colleges/pragati-engineering-college-kakinada,4 Years,"Rs 2,91,200/-",,"Average -Rs.
                                3.5 L.P.A/-Highest -Rs.
                                10 L.P.A/-",
"Government College of Engineering, Jalgaon",https://www.collegesearch.in/colleges/government-college-of-engineering-jalgaon,4 Years,"Rs 2,60,338/-",,,
"JK Institute of Applied Physics & Technology, Allahabad",https://www.collegesearch.in/colleges/jk-institute-of-applied-physics-technology-allahabad,4 Years,"Rs 1,40,000/-",,,Autonomous
"Vishveshwarya Institute of Engineering and Technology, Greater Noida",https://www.collegesearch.in/colleges/vishveshwarya-institute-of-engineering-and-technology-greater-noida,4 Years,"Rs 6,62,000/-",,,
"New Horizon College of Engineering, Bangalore",https://www.collegesearch.in/colleges/new-horizon-college-of-engineering-bangalore,4 Years,,,,
"United Group of Institutions(UGI), Greater Noida",https://www.collegesearch.in/colleges/united-group-of-institutions-ugi-greater-noida,4 Years,"Rs 3,00,800/-",,,
"Malwa Institute of Science & Technology, Indore",https://www.collegesearch.in/colleges/malwa-institute-of-science-technology-indore,4 Years,,,,
"Ludhiana College of Engineering & Technology, Ludhiana",https://www.collegesearch.in/colleges/ludhiana-college-of-engineering-technology-ludhiana,4 Years,,,,
"Bishop Jerome Institute, Kollam",https://www.collegesearch.in/colleges/bishop-jerome-institute-kollam,4 Years,,,,
Government Engineering College - Bhuj,https://www.collegesearch.in/colleges/government-engineering-college-bhuj,4 Years,,,,
Birla Institute of Applied Sciences,https://www.collegesearch.in/colleges/birla-institute-of-applied-sciences,4 Years,"Rs 6,41,200/-",,"Average -Rs.
                                3.00 L.P.A/-",
"Dronacharya Group of Institutions, Greater Noida",https://www.collegesearch.in/colleges/dronacharya-group-of-institutions-greater-noida,4 Years,"Rs 3,23,600/-",,"Average -Rs.
                                2.55 L.P.A/-Highest -Rs.
                                7 L.P.A/-",
"Kuppam Engineering College, Chittoor",https://www.collegesearch.in/colleges/kuppam-engineering-college-chittoor,4 Years,"Rs 1,24,000/-",,"Average -Rs.
                                3.15 L.P.A/-",
"Islamiah Institute of Technology, Bangalore",https://www.collegesearch.in/colleges/islamiah-institute-of-technology-bangalore,4 Years,"Rs 3,80,000/-",,,
"Gurgaon Institute of Technology & Management, Gurgaon",https://www.collegesearch.in/colleges/gurgaon-institute-of-technology-management-gurgaon,4 Years,,,"Average -Rs.
                                3.5 L.P.A/-Highest -Rs.
                                9.0 L.P.A/-",
"Mother Teresa Institute of Science & Technology, Khammam",https://www.collegesearch.in/colleges/mother-teresa-institute-of-science-technology,4 Years,"Rs 1,44,800/-",,,
"Baba Ghulam Shah Badshah University, Jammu",https://www.collegesearch.in/colleges/baba-ghulam-shah-badshah-university-jammu,4 Years,,,,
"Aravali Institute of Technical Studies, Udaipur",https://www.collegesearch.in/colleges/aravali-institute-of-technical-studies-udaipur,4 Years,"Rs 2,40,000/-",,,
"Government Engineering College, Valsad",https://www.collegesearch.in/colleges/government-engineering-college-valsad,4 Years,,,,
"Vinayaka Mission&rsquo;s Kirupananda Variyar Engineering College, Salem",https://www.collegesearch.in/colleges/vinayaka-missions-kirupananda-variyar-engineering-college-salem,4 Years,,,,
"HRIT Group of Institutions, Ghaziabad",https://www.collegesearch.in/colleges/hrit-group-of-institutions-ghaziabad,4 Years,,,,
"SSM College of Engineering, Tiruchengode",https://www.collegesearch.in/colleges/ssm-college-of-engineering-tiruchengode,4 Years,"Rs 2,18,800/-",,,
"Rajarshi Shahu College of Engineering, Pune",https://www.collegesearch.in/colleges/rajarshi-shahu-college-of-engineering-pune,4 Years,,,,
"Jawaharlal Nehru National College of Engineering, Shimoga",https://www.collegesearch.in/colleges/jawaharlal-nehru-national-college-of-engineering-shimoga,4 Years,"Rs 2,16,360/-",,,
Sri Siddhartha Institute of Technology,https://www.collegesearch.in/university/sri-siddhartha-institute-of-technology,4 Years,,,,
Government Engineering College - Dahod,https://www.collegesearch.in/colleges/government-engineering-college-dahod,4 Years,,,,
"AISSM Society&rsquo;s College of Engineering (AISSM COE), Pune",https://www.collegesearch.in/colleges/aissm-societys-college-of-engineering-aissm-coe-pune,4 Years,"Rs 3,41,348/-",,"Average -Rs.
                                2.5 L.P.A/-",
"Roland Institute of Technology, Berhampur",https://www.collegesearch.in/colleges/roland-institute-of-technology-berhampur,4 Years,"Rs 4,23,000/-",,"Average -Rs.
                                2.4 L.P.A/-",
"Shankara Institute of Technology, Jaipur",https://www.collegesearch.in/colleges/shankara-institute-of-technology-jaipur,4 Years,"Rs 2,47,500/-",,,
College of Basic Sciences & Humanities,https://www.collegesearch.in/colleges/college-of-basic-sciences-humanities,4 Years,,,,
"ABES Institute of Technology, Ghaziabad",https://www.collegesearch.in/colleges/abes-institute-of-technology-ghaziabad,4 Years,,,,
"Kamala Institute of Technology & Science, Karimnagar",https://www.collegesearch.in/colleges/kamala-institute-of-technology-science-karimnagar,4 Years,"Rs 2,86,000/-",,"Average -Rs.
                                2.4 L.P.A/-",
Govt Engineering College -Banswara,https://www.collegesearch.in/colleges/govt-engineering-college-banswara,4 Years,,,,Autonomous
"KMM Institute of Technology and Science, Chittoor",https://www.collegesearch.in/colleges/kmm-institute-of-technology-and-science-chittoor,4 Years,,,,
"ICFAI University, Jaipur",https://www.collegesearch.in/university/icfai-university-jaipur,4 Years,"Rs 3,50,000/-",,,State Private University
"Rao Bahadur Y Mahabaleshwarappa Engineering College, Bellary",https://www.collegesearch.in/colleges/rao-bahadur-y-mahabaleshwarappa-engineering-college-bellary,4 Years,"Rs 1,54,000/-",,,
"University College of Engineering - Thodupuzha, Thodapuzha",https://www.collegesearch.in/colleges/university-college-of-engineering-thodupuzha-thodapuzha,4 Years,,,"Average -Rs.
                                4 L.P.A/-",
"Kurukshetra Institute of Technology & Management, Kurukshetra",https://www.collegesearch.in/colleges/kurukshetra-institute-of-technology-management-kurukshetra,4 Years,,,,
Bharat Group of Colleges,https://www.collegesearch.in/colleges/bharat-group-of-colleges,4 Years,,,,
"MS Engineering College, Bangalore",https://www.collegesearch.in/colleges/MS_Engineering_College,4 Years,"Rs 5,00,000/-",,,
"College of Engineering - Pathanapuram, Kollam",https://www.collegesearch.in/colleges/college-of-engineering-pathanapuram-kollam,4 Years,"Rs 1,40,000/-",,,
"Institute of Technology - Korba, Korba",https://www.collegesearch.in/colleges/institute-of-technology-korba,4 Years,"Rs 1,69,200/-",,,
"Keshav Mahavidyalaya, Delhi",https://www.collegesearch.in/colleges/keshav-mahavidyalaya-delhi,4 Years,,,,
"Government Engineering College, Kozhikode",https://www.collegesearch.in/colleges/government-engineering-college-kozhikode,4 Years,,,,
"Kanchi Pallavan Engineering College, Kancheepuram",https://www.collegesearch.in/colleges/kanchi-pallavan-engineering-college,4 Years,,,,
"Dr S&SS Ghandhy Government Engineering College, Surat",https://www.collegesearch.in/colleges/dr-s-ss-ghandhy-government-engineering-college-surat,4 Years,,,,
"Sri Venkatesa Perumal College of Engineering & Technology, Tirupathi",https://www.collegesearch.in/colleges/sri-venkatesa-perumal-college-of-engineering-technology,4 Years,"Rs 3,20,000/-",,"Average -Rs.
                                2.16 L.P.A/-",
"Saraswathi Velu College of Engineering, Vellore",https://www.collegesearch.in/colleges/saraswathi-velu-college-of-engineering-vellore,4 Years,,,,
"National Institute of Food Technology Entrepreneurship and Management, Sonepat",https://www.collegesearch.in/university/national-institute-of-food-technology-entrepreneurship-and-management-sonepat,4 Years,"Rs 5,30,500/-",,,Deemed
"Indian Institute of Information Technology, Lucknow",https://www.collegesearch.in/colleges/indian-institute-of-information-technology-iiit-lucknow,4 Years,,,,Autonomous
"Department of Chemical Technology, Amravati",https://www.collegesearch.in/colleges/department-of-chemical-technology-amravati,4 Years,,,,
"Institute of Engineering and Management, Kolkata",https://www.collegesearch.in/colleges/institute-of-engineering-and-management-kolkata,4 Years,,,,
"Ambala College of Engineering & Applied Research, Ambala",https://www.collegesearch.in/colleges/ambala-college-of-engineering-applied-research-ambala,4 Years,"Rs 4,14,920/-",,,
"Government Engineering College, Bilaspur",https://www.collegesearch.in/colleges/government-engineering-college-bilaspur,4 Years,,,,
"Poornima Group of Colleges, Jaipur",https://www.collegesearch.in/colleges/poornima-group-of-colleges-jaipur,4 Years,"Rs 5,64,000/-",,"Average -Rs.
                                380000 L.P.A/-Highest -Rs.
                                600000 L.P.A/-",
"College of Engineering, Bhubaneswar",https://www.collegesearch.in/colleges/college-of-engineering-bhubaneswar,4 Years,,,,
Lord Ayyappa Institute of Engineering and Technology,https://www.collegesearch.in/colleges/lord-ayyappa-institute-of-engineering-and-technology,4 Years,,,,
"Govt College of Engineering & Textile Technology, Hugli",https://www.collegesearch.in/colleges/govt-college-of-engineering-textile-technology-hugli,4 Years,,,,
"The ICFAI University - Himachal Pradesh, Solan",https://www.collegesearch.in/university/icfai-university-himachal-pradesh,4 Years,"Rs 3,40,000/-",,,State Private University
"Millennium Institute of Technology, Saharanpur",https://www.collegesearch.in/colleges/millennium-institute-of-technology-saharanpur,4 Years,"Rs 3,40,150/-",,,
SNM Institute of Management and Technology,https://www.collegesearch.in/colleges/snm-institute-of-management-and-technology,4 Years,"Rs 2,68,000/-",,"Average -Rs.
                                3.0 L.P.A/-",
"Thanthai Periyar Govt Institute of Technology, Vellore",https://www.collegesearch.in/colleges/thanthai-periyar-govt-institute-of-technology-vellore,4 Years,,,,
"National Institute of Technology (NIT)- Sikkim, Amaravati",https://www.collegesearch.in/colleges/national-institute-of-technology-nit-sikkim,4 Years,,,,Autonomous
Rungta Engineering College,https://www.collegesearch.in/colleges/rungta-engineering-college,4 Years,"Rs 68,200/-",,,
"Glocal University, Saharanpur",https://www.collegesearch.in/university/glocal-university-saharanpur,4 Years,"Rs 4,81,000/-",,"Average -Rs.
                                2.8 L.P.A/-Highest -Rs.
                                6 L.P.A/-",Autonomous
"Siliguri Institute of Technology, Darjeeling",https://www.collegesearch.in/colleges/siliguri-institute-of-technology-darjeeling,4 Years,"Rs 3,00,000/-",,"Average -Rs.
                                3 L.P.A/-Highest -Rs.
                                14.36 L.P.A/-",
"Sri Krishna College of Engineering and Technology - SKCET, Coimbatore",https://www.collegesearch.in/colleges/sri-krishna-college-of-engineering-technology-skcet-coimbatore,4 Years,"Rs 2,20,000/-",,,
"Deccan College of Engineering & Technology, Hyderabad",https://www.collegesearch.in/colleges/deccan-college-of-engineering-technology-hyderabad,4 Years,"Rs 2,53,000/-",,,
"Reva University, Bangalore",https://www.collegesearch.in/university/reva-university-bangalore,4 Years,"Rs 12,25,000/-",,,State Private University
"Mahatma Gandhi Chitrakoot Gramoday University, Chhatarpur",https://www.collegesearch.in/university/mahatma-gandhi-chitrakoot-gramoday-university,4 Years,,,,State University
Sri Guru Granth Sahib World University,https://www.collegesearch.in/university/sri-guru-granth-sahib-world-university,4 Years,"Rs 3,48,000/-",,,State Private University
"RK University, Rajkot",https://www.collegesearch.in/university/rk-university-rajkot,4 Years,"Rs 2,60,000/-",,,State Private University
"Apex University, Jaipur",https://www.collegesearch.in/university/apex-group-of-institutions-jaipur,4 Years,"Rs 3,00,000/-",,"Average -Rs.
                                1.8 L.P.A/-Highest -Rs.
                                5.3 L.P.A/-",Autonomous
"Medi-Caps University, Indore",https://www.collegesearch.in/university/medi-caps-university-indore,4 Years,"Rs 4,85,000/-",,"Average -Rs.
                                1.8 L.P.A/-Highest -Rs.
                                3.5 L.P.A/-",
Sethu Institute of Technology,https://www.collegesearch.in/colleges/sethu-institute-of-technology,4 Years,"Rs 87,000/-",,"Average -Rs.
                                1.89 L.P.A/-",
"Glocal University, Saharanpur",https://www.collegesearch.in/university/glocal-university-saharanpur,4 Years,"Rs 4,81,000/-",,"Average -Rs.
                                2.8 L.P.A/-Highest -Rs.
                                6 L.P.A/-",Autonomous
"Dr Ambedkar Institute of Technology, Bangalore",https://www.collegesearch.in/colleges/dr-ambedkar-institute-of-technology-bangalore,4 Years,,,,Autonomous
"Mahatma Gandhi Chitrakoot Gramoday University, Chhatarpur",https://www.collegesearch.in/university/mahatma-gandhi-chitrakoot-gramoday-university,4 Years,,,,State University
"HKBK College of Engineering, Bangalore",https://www.collegesearch.in/colleges/hkbk-college-of-engineering-bangalore,4 Years,"Rs 5,76,000/-",,"Average -Rs.
                                2.4 L.P.A/-Highest -Rs.
                                6 L.P.A/-",
"MVJ College of Engineering (MVJCE), Bangalore",https://www.collegesearch.in/colleges/mvj-college-of-engineering-mvjce-bangalore,4 Years,"Rs 9,23,000/-",,"Average -Rs.
                                3.84 L.P.A/-",
"Siliguri Institute of Technology, Darjeeling",https://www.collegesearch.in/colleges/siliguri-institute-of-technology-darjeeling,4 Years,"Rs 3,00,000/-",,"Average -Rs.
                                3 L.P.A/-Highest -Rs.
                                14.36 L.P.A/-",
"Sri Krishna College of Engineering and Technology - SKCET, Coimbatore",https://www.collegesearch.in/colleges/sri-krishna-college-of-engineering-technology-skcet-coimbatore,4 Years,"Rs 2,20,000/-",,,
"Jaipur National University, Jaipur",https://www.collegesearch.in/university/jaipur-national-university-jaipur,4 Years,"Rs 4,85,800/-",,"Average -Rs.
                                2 L.P.A/-Highest -Rs.
                                3.5 L.P.A/-",State Private University
"AMC Engineering College (AMCEC), Bangalore",https://www.collegesearch.in/colleges/amc-engineering-college-amcec-bangalore,4 Years,"Rs 5,00,000/-",,,
"Reva University, Bangalore",https://www.collegesearch.in/university/reva-university-bangalore,4 Years,"Rs 12,25,000/-",,,State Private University
"Dayalbagh Educational Institute, Agra",https://www.collegesearch.in/university/dayalbagh-educational-institute-agra,4 Years,"Rs 54,800/-",,,Deemed
"Apex University, Jaipur",https://www.collegesearch.in/university/apex-group-of-institutions-jaipur,4 Years,"Rs 3,00,000/-",,"Average -Rs.
                                1.8 L.P.A/-Highest -Rs.
                                5.3 L.P.A/-",Autonomous
"Oriental Institute of Science & Technology, Bhopal",https://www.collegesearch.in/colleges/oriental-institute-of-science-technology-bhopal,4 Years,,,,
Adhiyamaan College of Engineering,https://www.collegesearch.in/colleges/adhiyamaan-college-of-engineering,4 Years,,,"Average -Rs.
                                2.65 L.P.A/-",Autonomous
"Dev Bhoomi Group of Institutions, Dehradun",https://www.collegesearch.in/colleges/dev-bhoomi-group-of-institutions-dehradun,4 Years,"Rs 4,22,500/-",,"Average -Rs.
                                3.75 L.P.A/-Highest -Rs.
                                40 L.P.A/-",
"Bennett University, Greater Noida",https://www.collegesearch.in/university/bennett-university-greater-noida,4 Years,"Rs 14,00,000/-",,"Average -Rs.
                                6.1 L.P.A/-Highest -Rs.
                                44 L.P.A/-",State Private University
"RK University, Rajkot",https://www.collegesearch.in/university/rk-university-rajkot,4 Years,"Rs 2,60,000/-",,,State Private University
"Quantum University, Dehradun",https://www.collegesearch.in/colleges/quantum-global-campus-dehradun,4 Years,"Rs 4,42,000/-",,,
"Noida Institute of Engineering & Technology (NIET), Greater Noida",https://www.collegesearch.in/colleges/noida-institute-of-engineering-technology-niet-greater-noida,4 Years,"Rs 5,05,800/-",,"Average -Rs.
                                2.5 L.P.A/-",
Adhiyamaan College of Engineering,https://www.collegesearch.in/colleges/adhiyamaan-college-of-engineering,4 Years,,,"Average -Rs.
                                2.65 L.P.A/-",Autonomous
Kalasalingam University,https://www.collegesearch.in/university/kalasalingam-university,4 Years,"Rs 4,00,000/-",,,Deemed
"SRM Institute of Science and Technology - SRM University, Ghaziabad",https://www.collegesearch.in/university/srm-institute-of-science-and-technology-srm-university,4 Years,"Rs 6,40,000/-",,,State Private University
"GMR Institute of Technology, Srikakulam",https://www.collegesearch.in/colleges/gmr-institute-of-technology-srikakulam,4 Years,"Rs 4,55,800/-",,"Average -Rs.
                                2.25 L.P.A/-",
